input_id,index,sum_assured,Num_Policies,prem_rate_per1000,policy_fees,policy_Init_comm,policy_yearly_comm,acq_direct_expenses,acq_indirect_expense,main_direct_expenses,main_indirect_expenses,discount_rate,Total_years,asset_ret_rate,CSM_ret_Rate,risk_adjst_rate,mortality,lapse
0,0,200000,1000,0.7,65,0.8,0.05,40,60,30,20,0.04,20,0.045,0.04,0.1,0.0004,0.05
0,1,200000,1000,0.7,65,0.8,0.05,40,60,30,20,0.04,20,0.045,0.04,0.1,0.0004,0.05
0,2,200000,1000,0.7,65,0.8,0.05,40,60,30,20,0.04,20,0.045,0.04,0.1,0.0005,0.05
0,3,200000,1000,0.7,65,0.8,0.05,40,60,30,20,0.04,20,0.045,0.04,0.1,0.0005,0.05
0,4,200000,1000,0.7,65,0.8,0.05,40,60,30,20,0.04,20,0.045,0.04,0.1,0.0006,0.05
0,5,200000,1000,0.7,65,0.8,0.05,40,60,30,20,0.04,20,0.045,0.04,0.1,0.0007,0.05
0,6,200000,1000,0.7,65,0.8,0.05,40,60,30,20,0.04,20,0.045,0.04,0.1,0.0007,0.05
0,7,200000,1000,0.7,65,0.8,0.05,40,60,30,20,0.04,20,0.045,0.04,0.1,0.0008,0.05
0,8,200000,1000,0.7,65,0.8,0.05,40,60,30,20,0.04,20,0.045,0.04,0.1,0.0009,0.05
0,9,200000,1000,0.7,65,0.8,0.05,40,60,30,20,0.04,20,0.045,0.04,0.1,0.001,0.75
0,10,200000,1000,3,65,0.8,0.05,40,60,30,20,0.04,20,0.045,0.04,0.1,0.001925,0.05
0,11,200000,1000,3,65,0.8,0.05,40,60,30,20,0.04,20,0.045,0.04,0.1,0.002275,0.05
0,12,200000,1000,3,65,0.8,0.05,40,60,30,20,0.04,20,0.045,0.04,0.1,0.00245,0.05
0,13,200000,1000,3,65,0.8,0.05,40,60,30,20,0.04,20,0.045,0.04,0.1,0.002625,0.05
0,14,200000,1000,3,65,0.8,0.05,40,60,30,20,0.04,20,0.045,0.04,0.1,0.002975,0.05
0,15,200000,1000,3,65,0.8,0.05,40,60,30,20,0.04,20,0.045,0.04,0.1,0.00315,0.05
0,16,200000,1000,3,65,0.8,0.05,40,60,30,20,0.04,20,0.045,0.04,0.1,0.003325,0.05
0,17,200000,1000,3,65,0.8,0.05,40,60,30,20,0.04,20,0.045,0.04,0.1,0.003675,0.05
0,18,200000,1000,3,65,0.8,0.05,40,60,30,20,0.04,20,0.045,0.04,0.1,0.004025,0.05
0,19,200000,1000,3,65,0.8,0.05,40,60,30,20,0.04,20,0.045,0.04,0.1,0.004025,1
1,0,228000,1,0.7,100,0.672396339,0.061625816,61,52,22,20,0.040665434,20,0.040035431,0.036305839,0.09640673,0.0004,0.05
1,1,228000,1,0.7,100,0.672396339,0.061625816,61,52,22,20,0.040665434,20,0.040035431,0.036305839,0.09640673,0.0004,0.05
1,2,228000,1,0.7,100,0.672396339,0.061625816,61,52,22,20,0.040665434,20,0.040035431,0.036305839,0.09640673,0.0005,0.05
1,3,228000,1,0.7,100,0.672396339,0.061625816,61,52,22,20,0.040665434,20,0.040035431,0.036305839,0.09640673,0.0005,0.05
1,4,228000,1,0.7,100,0.672396339,0.061625816,61,52,22,20,0.040665434,20,0.040035431,0.036305839,0.09640673,0.0006,0.05
1,5,228000,1,0.7,100,0.672396339,0.061625816,61,52,22,20,0.040665434,20,0.040035431,0.036305839,0.09640673,0.0007,0.05
1,6,228000,1,0.7,100,0.672396339,0.061625816,61,52,22,20,0.040665434,20,0.040035431,0.036305839,0.09640673,0.0007,0.05
1,7,228000,1,0.7,100,0.672396339,0.061625816,61,52,22,20,0.040665434,20,0.040035431,0.036305839,0.09640673,0.0008,0.05
1,8,228000,1,0.7,100,0.672396339,0.061625816,61,52,22,20,0.040665434,20,0.040035431,0.036305839,0.09640673,0.0009,0.05
1,9,228000,1,0.7,100,0.672396339,0.061625816,61,52,22,20,0.040665434,20,0.040035431,0.036305839,0.09640673,0.001,0.75
1,10,228000,1,3,100,0.672396339,0.061625816,61,52,22,20,0.040665434,20,0.040035431,0.036305839,0.09640673,0.001925,0.05
1,11,228000,1,3,100,0.672396339,0.061625816,61,52,22,20,0.040665434,20,0.040035431,0.036305839,0.09640673,0.002275,0.05
1,12,228000,1,3,100,0.672396339,0.061625816,61,52,22,20,0.040665434,20,0.040035431,0.036305839,0.09640673,0.00245,0.05
1,13,228000,1,3,100,0.672396339,0.061625816,61,52,22,20,0.040665434,20,0.040035431,0.036305839,0.09640673,0.002625,0.05
1,14,228000,1,3,100,0.672396339,0.061625816,61,52,22,20,0.040665434,20,0.040035431,0.036305839,0.09640673,0.002975,0.05
1,15,228000,1,3,100,0.672396339,0.061625816,61,52,22,20,0.040665434,20,0.040035431,0.036305839,0.09640673,0.00315,0.05
1,16,228000,1,3,100,0.672396339,0.061625816,61,52,22,20,0.040665434,20,0.040035431,0.036305839,0.09640673,0.003325,0.05
1,17,228000,1,3,100,0.672396339,0.061625816,61,52,22,20,0.040665434,20,0.040035431,0.036305839,0.09640673,0.003675,0.05
1,18,228000,1,3,100,0.672396339,0.061625816,61,52,22,20,0.040665434,20,0.040035431,0.036305839,0.09640673,0.004025,0.05
1,19,228000,1,3,100,0.672396339,0.061625816,61,52,22,20,0.040665434,20,0.040035431,0.036305839,0.09640673,0.004025,1
2,0,154000,1,0.7,91,0.68084865,0.060586165,64,51,31,20,0.035118012,20,0.046381125,0.038895627,0.088627969,0.0004,0.05
2,1,154000,1,0.7,91,0.68084865,0.060586165,64,51,31,20,0.035118012,20,0.046381125,0.038895627,0.088627969,0.0004,0.05
2,2,154000,1,0.7,91,0.68084865,0.060586165,64,51,31,20,0.035118012,20,0.046381125,0.038895627,0.088627969,0.0005,0.05
2,3,154000,1,0.7,91,0.68084865,0.060586165,64,51,31,20,0.035118012,20,0.046381125,0.038895627,0.088627969,0.0005,0.05
2,4,154000,1,0.7,91,0.68084865,0.060586165,64,51,31,20,0.035118012,20,0.046381125,0.038895627,0.088627969,0.0006,0.05
2,5,154000,1,0.7,91,0.68084865,0.060586165,64,51,31,20,0.035118012,20,0.046381125,0.038895627,0.088627969,0.0007,0.05
2,6,154000,1,0.7,91,0.68084865,0.060586165,64,51,31,20,0.035118012,20,0.046381125,0.038895627,0.088627969,0.0007,0.05
2,7,154000,1,0.7,91,0.68084865,0.060586165,64,51,31,20,0.035118012,20,0.046381125,0.038895627,0.088627969,0.0008,0.05
2,8,154000,1,0.7,91,0.68084865,0.060586165,64,51,31,20,0.035118012,20,0.046381125,0.038895627,0.088627969,0.0009,0.05
2,9,154000,1,0.7,91,0.68084865,0.060586165,64,51,31,20,0.035118012,20,0.046381125,0.038895627,0.088627969,0.001,0.75
2,10,154000,1,3,91,0.68084865,0.060586165,64,51,31,20,0.035118012,20,0.046381125,0.038895627,0.088627969,0.001925,0.05
2,11,154000,1,3,91,0.68084865,0.060586165,64,51,31,20,0.035118012,20,0.046381125,0.038895627,0.088627969,0.002275,0.05
2,12,154000,1,3,91,0.68084865,0.060586165,64,51,31,20,0.035118012,20,0.046381125,0.038895627,0.088627969,0.00245,0.05
2,13,154000,1,3,91,0.68084865,0.060586165,64,51,31,20,0.035118012,20,0.046381125,0.038895627,0.088627969,0.002625,0.05
2,14,154000,1,3,91,0.68084865,0.060586165,64,51,31,20,0.035118012,20,0.046381125,0.038895627,0.088627969,0.002975,0.05
2,15,154000,1,3,91,0.68084865,0.060586165,64,51,31,20,0.035118012,20,0.046381125,0.038895627,0.088627969,0.00315,0.05
2,16,154000,1,3,91,0.68084865,0.060586165,64,51,31,20,0.035118012,20,0.046381125,0.038895627,0.088627969,0.003325,0.05
2,17,154000,1,3,91,0.68084865,0.060586165,64,51,31,20,0.035118012,20,0.046381125,0.038895627,0.088627969,0.003675,0.05
